Country_Region,Confirmed,Deaths,Incident_Rate
Afghanistan,209451,7896,538.0424508714615
Albania,334457,3598,11621.96817012996
Algeria,271496,6881,619.132365905185
Andorra,47890,165,61981.49226687375
Angola,105288,1933,320.35277020195906
Antarctica,11,0,
Antigua and Barbuda,9106,146,9298.668409443671
Argentina,10044957,130472,22225.43269916568
Armenia,447308,8727,15095.264160710898
Australia,232974,228,54420.46250875964
Australia,3915992,6529,48238.38383838384
Australia,105111,91,42797.63843648208
Australia,1800236,2783,35191.78965887988
Australia,883620,1365,50305.72160546541
Australia,287507,256,53689.44911297853
Australia,2880559,7370,43448.00072399282
Australia,1293461,952,49169.80916901087
Austria,5961143,21970,66187.85530289572
Azerbaijan,828825,10138,8174.481651613667
Bahamas,37491,833,9533.678492961184
Bahrain,710693,1553,41766.57853304834
Bangladesh,2037871,29445,1237.402777809909
Barbados,106798,579,37163.80567280624
Belarus,994037,7118,10519.665910386577
Belgium,766206,0,41238.52386401189
Belgium,505467,0,41824.5290606367
Belgium,645338,0,42594.7682738155
Belgium,464722,0,40545.46644273344
Belgium,519111,0,38617.40565865793
Belgium,419029,0,37852.93841328573
Belgium,351474,0,40212.20802518855
Belgium,122942,0,43192.4057926208
Belgium,202905,0,41046.88211197087
Belgium,63364,33814,
Belgium,173827,0,43069.23456202815
Belgium,504980,0,42229.611070784646
Belize,70757,688,17795.086275624275
Benin,27999,163,230.95391166588223
Bhutan,62627,21,8116.384918845223
Bolivia,1194277,22365,10231.080553299404
Bosnia and Herzegovina,401729,16280,12244.79283348802
Botswana,329758,2801,14022.558868867272
Brazil,160433,2043,18191.02314796442
Brazil,337535,7242,10113.841581826577
Brazil,185668,2167,21953.552607152866
Brazil,631976,14443,15248.189389704234
Brazil,1792572,31459,12052.4728462138
Brazil,1453572,28157,15917.209642756008
Brazil,897897,11844,29778.34806060357
Brazil,1323318,15041,32929.41659512523
Brazil,1898605,28036,27051.9982320641
Brazil,493391,11053,6973.545977127652
Brazil,878360,15087,25207.87977268253
Brazil,607356,11010,21855.30981444311
Brazil,4189760,65507,19792.1553479365
Brazil,871612,19021,10131.648003310524
Brazil,707743,10542,17613.75387089557
Brazil,2918459,46018,25524.488154013525
Brazil,1156640,22686,12102.45272845624
Brazil,424866,8354,12980.034687481191
Brazil,585935,8715,16708.285177622216
Brazil,2961756,41919,26032.291314263504
Brazil,2752662,76844,15943.649509876748
Brazil,482910,7432,27172.13633614202
Brazil,182485,2180,30124.917252843945
Brazil,1985888,22703,27717.33092451584
Brazil,6469442,179039,14088.79787558318
Brazil,359674,6502,15646.871095612469
Brazil,365538,4232,23240.25059986038
Brunei,279661,225,63924.99822850259
Bulgaria,1297523,38228,18673.573727646977
Burkina Faso,22056,396,105.51455135409864
Burma,633950,19490,1165.1394967604544
Burundi,53631,38,451.030087931146
Cabo Verde,63244,413,11375.065648898895
Cambodia,138719,3056,829.7101538126958
Cameroon,124392,1965,468.5927721169671
Canada,629269,5622,14258.966279384367
Canada,396817,5249,7764.105736798308
Canada,0,1,
Canada,13,0,
Canada,154712,2464,11231.222554785169
Canada,88866,834,11393.17916955665
Canada,54757,318,10502.622922520692
Canada,11511,22,25634.687332977017
Canada,140793,794,14404.009588145564
Canada,3531,7,9105.20887055183
Canada,1601325,16234,10884.610048772323
Canada,56523,93,35738.312320590805
Canada,1320325,18160,15464.692139802948
Canada,13,0,
Canada,153651,1890,13002.912836622192
Canada,4989,32,12145.187204829836
Central African Republic,15368,113,318.1936011780286
Chad,7679,194,46.74945766915448
Chile,183811,1961,30255.26143392798
Chile,293632,2922,30675.369610456903
Chile,79718,900,35262.84126899871
Chile,116955,718,40476.70136773908
Chile,36352,222,35239.14771515539
Chile,510730,4824,32806.292374446384
Chile,211158,1951,27872.479164081706
Chile,243060,2577,29329.993194225222
Chile,148252,1411,38523.32286136728
Chile,67653,774,40624.3807533642
Chile,346804,3354,33188.57361596249
Chile,1967389,30869,27659.80749093748
Chile,158355,1333,32948.82118312391
Chile,221916,2821,24264.915724040653
Chile,113542,1173,34348.58632978176
Chile,42,2,
Chile,492917,6461,27144.47145275461
China,2275,7,3.5974067046173306
China,40774,20,189.29433611884863
China,14715,11,47.437137330754354
China,17122,2,43.44582593250444
China,1742,2,6.6059916571861965
China,103248,10,90.99947117927024
China,13371,2,27.143727161997564
China,2534,2,7.038888888888889
China,10483,6,112.23768736616702
China,3292,7,4.356802541026998
China,6603,18,17.500662602703418
China,9948,23,10.35710567412806
China,2876106,13467,38363.48677628936
China,72131,4515,121.90468142639853
China,7437,4,10.779823162777214
China,8847,1,34.913180741910026
China,5075,0,6.303564774562166
China,3423,2,7.364457831325301
China,40764,5,150.75443786982248
China,3547,2,8.137187428309245
China,3514,121,541.1632082939345
China,1276,0,18.546511627906977
China,782,0,12.96849087893864
China,7326,5,18.959627329192543
China,5880,10,5.85249328157659
China,67040,595,276.5676567656766
China,7167,1,19.2764927380312
China,14567,12,17.464332813811293
China,4392,3,28.15384615384616
China,1647,0,47.877906976744185
China,1521816,82195,
China,3089,3,12.420587052673904
China,9743,4,20.17184265010352
