Total Reactions,Name,Company Name
15958,williamhgates,
2660,hardeep-singh-puri-676667224,
576,angelafwilliams,
2126,mustafa-suleyman,
801,arthur-c-brooks,
9529,williamhgates,
1635,reidhoffman,
3272,,Indiana University School of Medicine
1766,pamela-whitten-1b386516a,
2446,williamhgates,
116,rufus-griscom-16b1,
4931,williamhgates,
17324,williamhgates,
3618,williamhgates,
897,paulin-basinga-88309176,
3737,williamhgates,
996,chris-anderson-3b2a05bb,
1298,williamhgates,
2013,williamhgates,
820,solitairetownsend,
10090,williamhgates,
717,williamhgates,
2038,williamhgates,
3528,williamhgates,
1007,jkevinscott,
1290,sedoniadavis,
10997,williamhgates,
2954,,Covariant
6134,jazz-ikhasi,
1118,noel-quinn-hsbc,
1908,ursula-von-der-leyen,
15275,williamhgates,
15275,williamhgates,
13097,williamhgates,
1540,kristen-siemen,
13160,herbertdiess,
1405,elizabeth-derbes-35471518,
837318,williamhgates,
3091,herbertdiess,
1958,marksuzman,
9278,,
22430,,Vale Group
80682,williamhgates,
