Job title,Company,Job type,Skills
Data Analysis Manager,WUZZUF -,Full Time,"[' · Analysis', ' · business', ' · Computer Engineering', 'Computer Science', 'Data Analysis', ' · Engineering', ' · Microsoft Excel']"
IT OS & Data Base Expert,Wadi Group -,Full Time,"[' · Computer Engineering', 'Computer Science', ' · DBMS', ' · Engineering', ' · Information Technology (IT)', ' · Linux', ' · Oracle', ' · SOA', ' · Software Development']"
Data Scientist,HYVE Technology Consulting  -,Full Time,"['Computer Science', 'Data', 'Data Science', 'data scientist', ' · Engineering', ' · Hadoop', ' · Information Technology (IT)', ' · Java', ' · Python']"
Data Analyst,Junior-Tex -,Full Time,"[' · Analysis', 'Data Analysis', ' · Economics', 'Data', ' · analytical', 'Computer Science']"
Data Engineer,HYVE Technology Consulting  -,Full Time,"[' · Computer Engineering', 'Computer Science', 'Data Mining', 'Data', 'Database', ' · Engineering', ' · Ibm', ' · Information Technology (IT)']"
Data Analytics Specialist (sales department),Specialized Seamless Services  -,Full Time,"['Data Analytics', 'Computer Science']"
Data Analyst,Al Ateeq Software -,Full Time,"['Computer Science', 'Data Analyst', ' · Information Technology (IT)', ' · Analysis', 'Data']"
"BI analyst ""Data warehouse""",Efada Technology -,Full Time,"[' · BI', 'Computer Science', 'Database', ' · Information Technology (IT)', ' · Oracle', ' · SQL', ' · PLSql']"
Computer science instructor,Sky Elite -,Full Time,"['Computer Science', ' · Computer Skills', ' · Teaching', ' · Information Technology (IT)', ' · Software Development', ' · computer', ' · Design', 'Science']"
Data Engineer,COB Solution  -,Full Time,"[' · Engineering', ' · Computer Engineering', 'Computer Science', 'Data', 'Data Migration', ' · Development', ' · Python']"
Data Analyst,Bnaia -,Full Time,"[' · Analysis', ' · Analyst', ' · analytical', ' · business', 'Computer Science', 'Data', 'Data Analysis']"
Engineer Maintenance / Technical Representative (Computer Science) - Mobiles,Raya Distribution -,Full Time,"[' · Communication', ' · quality', ' · Skills', ' · technical', ' · Maintenance', ' · Engineering']"
Data Governance Senior Analyst,Tasaheel Finance  -,Full Time,"[' · Analysis', 'Data Governance']"
BI Developer,HYVE Technology Consulting  -,Full Time,"[' · BI', 'Computer Science', 'Data Warehouse', ' · Engineering', ' · ETL', ' · Information Technology (IT)', ' · Microsoft Power BI', ' · Oracle', ' · Power BI']"
