Job title,Company,Job type,Skills
Engineer Maintenance / Technical Representative (Computer Science) - Mobiles,Raya Distribution -,Full Time,"['Communication', 'quality', 'Skills', 'technical', 'Maintenance', 'Engineering']"
Odoo Developer,Aldabboos Group     -,Full Time,"['Odoo Development', 'Odoo', 'Python', 'Mobile Development', 'REST', 'Software', 'Information Technology (IT)']"
IT Specialist,Aayan Developments -,Full Time,"['Engineering', 'Computer Systems', 'Installation', 'Information Technology (IT)', 'networks', 'IT', 'Technical Support', 'Software', 'Communication']"
IT Network Engineer,LIVING IN INTERIORS - EGYPT -,Full Time,"['Networks', 'Software Engineering', 'Computer', 'CCNA', 'Information Technology (IT)', 'Database', 'Internet']"
Sales Executives - Tech Training Sector,CLS Learning Solutions -,Full Time,"['Sales Target', 'Sales', 'sales skills', 'Career Advising', 'Sales Training', 'business', 'Communication', 'Communication skills']"
IT Manager,Blue Nile -,Full Time,"['Restaurant Management', 'Hotel, Restaurant, Cafe', 'Information technology', 'IT', 'ITIL', 'Infrastructure', 'Technology', 'Security']"
Medical Representative - Sharqia,El Nahar for Medical Solutions -,Full Time,"['Agriculture', 'Commerce', 'Communication', 'Communication skills', 'Medical', 'Pharmacy', 'Sales']"
Quality Control Supervisor,Olam SVI -,Full Time,"['Chemistry', 'Communication', 'Engineering', 'GMP', 'Manufacturing', 'Production', 'quality']"
IT Presales Engineer,Connectra -,Full Time,"['Engineering', 'Information Technology (IT)', 'Presales Engineering', 'CCNA', 'IT', 'English', 'Cisco']"
Senior Backend Developer (Node.js),TXG. -,Full Time,"['API', 'backend', 'CI/CD', 'Github', 'PostgreSQL', 'REST', 'Fastify', 'Node.js', 'Typescript']"
Area Sales Manager (Experienced Non-Manger Position),Sphinx Glass -,Full Time,"['Customer Service', 'Communication', 'English', 'Engineering', 'Negotiation', 'Presentation Skills', 'Sales Target', 'sales skills']"
Senior Data Scientist,DOT Information Technology -,Full Time,"['Machine Learning', 'Information Technology (IT)', 'Programming', 'NLP']"
Raw material sourcing specialist (chemical Background),Floortec -,Full Time,"['Raw Material Sourcing Specialist', 'Procurement Support', 'Construction Chemicals', 'Building Materials', 'Resin Products', 'Chemical Manufacturing', 'Raw Material Specifications']"
